"","Name","Price","Ratings","No_of_Reviews"
"1","The Drop Women's Avalon Small Tote Bag  ","£14.54£14.54","4.1 out of 5 stars","4,558"
"2","Harry Potter Railway-Fashion Backpack  ","£37.45£37.45","4.5 out of 5 stars","438"
"3","Targus Laptop Backpack, Lightweight with 20L Capacity, Multi-pocket, Padded Compartment Fits Laptops up to 16"" - Black (CN600)  ","£23.47£23.47 RRP: £31.22£31.22","4.6 out of 5 stars","4,006"
"4","Victorinox 611753 Spectra 3.0 Exp. Global Carry-On Bag Unisex Black  ","","5.0 out of 5 stars","2"
"5","Amazon Basics Compact Laptop Shoulder Bag Carrying Case with Padded Strap and Zippered Accessory Pocket, 1-Pack, 39.6 cm, Black  ","£18.94£18.94","4.7 out of 5 stars","52,413"
"6","EASTPAK Unisex The One Crossbody Bag  ","£18.00£18.00","4.5 out of 5 stars","17,441"
"7","PUMA Unisex Teamgoal 23 Backpack Core Backpack (pack of 1)  ","£15.85£15.85","4.5 out of 5 stars","4,230"
"8","Weekend Bag, Overnight Bag Carry on Bag Holdalls Travel Bag for Women Gym Waterproof Weekender Tote Bag (Pink)  ","£7.99£7.99 (£2.66£2.66/count)","4.5 out of 5 stars","2,288"
"9","Extra Large Laundry Storage Checkered Shopping Bags 3 Pack, (60 x50 x25 cm) Strong and Durable Waterproof Moving Totes Carrying Bag With Zipper, Cloth Storage Handle Attached Reusable Luggage Bags  ","","4.2 out of 5 stars","423"
"10","Ikea STORSTOMMA (FRAKTA) Large 71L Pride Rainbow Reusable Carrier Bags - Set of 2  ","£7.99£7.99","4.4 out of 5 stars","126"
"11","Zuvo Large Handy Storage Bag with Web Handle, Waterproof 600D Oxford Fabric Jumbo Bag 60L | Strong Reusable Bags Perfect for Under bed Storage, Blankets, Duvet, Laundry, Shopping, Moving (1)  ","£14.99£14.99 RRP: £20.00£20.00","4.4 out of 5 stars","1,435"
"12","PUMA Challenger Duffel Bag XS  ","£23.03£23.03 Was: £32.90£32.90","4.4 out of 5 stars","199"
"13","The Drop Women's Melanie Bag  ","£109.99£109.99","4.1 out of 5 stars","320"
"14","LUGG Travel Suitcase Set - Jetset 3-Piece Hard Shell Luggage, 20"" 25"" 29 Strong & Lightweight with Secure TSA Lock, Smooth 360° Wheels, Internal Pockets - Airline Approved  ","£19.70£19.70","4.4 out of 5 stars","617"
"15","SIDORENKO Laptop Computer Shoulder Bag Messenger Bag  ","£39.99£39.99","4.7 out of 5 stars","6,380"
"16","TARION Camera Backpack, Photography Backpack with Large Capacity, Padded Insert, 15'' Laptop Compartment, Professional Waterproof Camera Bag for DSLR SLR Canon Nikon Fuji Sony Cameras (Black)  ","£23.47£23.47 RRP: £31.22£31.22","4.6 out of 5 stars","4,006"
"17","Targus Laptop Backpack, Lightweight with 20L Capacity, Multi-pocket, Padded Compartment Fits Laptops up to 16"" - Black (CN600)  ","£19.99£19.99","4.4 out of 5 stars","585"
"18","Kono Small Canvas Messenger Bag Men Shoulder Bags Travel Organizer Satchel Durable Multi-Pockets Sling Cross Body Bag Pack  ","£14.33£14.33 RRP: £17.04£17.04","4.3 out of 5 stars","3,189"
"19","PUMA  ","£14.86£14.86","4.5 out of 5 stars","836"
"20","Makukke Cord Bag Women's Shoulder Bags with Zip, Shopper Women's Large Tote Bag Handbag Shoulder Bags for Work Office Travel Shopping School and Everyday Use  ","£92.23£92.23","4.7 out of 5 stars","6"
"21","Vita Blake 480 x 380 x 80 mm Strong Expandable Kraft Mailing Bag (KMB1166) Pack of 100  ","","4.8 out of 5 stars","28"
"22","Kids Character White Faux Leather Shoulder Strap Messenger Bag One Size  ","£64.99£64.99","4.4 out of 5 stars","145"
"23","Cressi  ","£26.40£26.40","4.5 out of 5 stars","256"
"24","MegaGear Genuine Leather and Fleece MacBook Bag Laptop Sleeve for MacBook Pro and MacBook Air Case -14 Inch- 13 Inch (M2,M2 Pro,M2 Max,M1) -13.3 Inch-iPad Pro 12.9 Inch-2020,2021,2022 and 2023 Models  ","£9.99£9.99","4.6 out of 5 stars","1,315"
"25","eBuyGB Pack of 10 Natural Cotton Shopping Tote Bags - Shoppers  ","£9.50£9.50 RRP: £12.00£12.00","4.6 out of 5 stars","2,470"
"26","LUGG Travel Suitcase Set - Jetset 3-Piece Hard Shell Luggage, 20"" 25"" 29 Strong & Lightweight with Secure TSA Lock, Smooth 360° Wheels, Internal Pockets - Airline Approved  ","£109.99£109.99","4.4 out of 5 stars","617"
"27","Targus Laptop Backpack, Lightweight with 20L Capacity, Multi-pocket, Padded Compartment Fits Laptops up to 16"" - Black (CN600)  ","£23.47£23.47 RRP: £31.22£31.22","4.6 out of 5 stars","4,006"
"28","Harry Potter Railway-Fashion Backpack  ","RRP: £31.22£31.22","4.5 out of 5 stars","438"
"29","SIDORENKO Laptop Computer Shoulder Bag Messenger Bag  ","£37.45£37.45","4.7 out of 5 stars","1,038"
"30","SIDORENKO Laptop Computer Shoulder Bag Messenger Bag","£19.70£19.70","4.8 out of 5 stars","15,228"
"31","PUMA Women's Evercat Candidate Duffel Bags","£25.31£25.31","4.5 out of 5 stars","950"
"32","Under Armour Unisex UA Undeniable 5.0 Duffle LG Backpack","£11.00£11.00 RRP: £11.99£11.99","4.7 out of 5 stars","4,169"
"33","DEWALT DG5102 Multi-Purpose Zip Bags, 2 Pack, Black","£29.95£29.95 RRP: £45.00£45.00","4.4 out of 5 stars","189"
"34","PUMA Challenger Duffel Bag","£22.34£22.34 Was: £24.95£24.95","4.6 out of 5 stars","1,241"
"35","NIKE","£17.99£17.99 RRP: £26.00£26.00","4.8 out of 5 stars","28"
"36","Kids Character White Faux Leather Shoulder Strap Messenger Bag One Size  ","£28.94£28.94 RRP: £32.99£32.99","4.4 out of 5 stars","145"
"37","Kids Character White Faux Leather Shoulder Strap Messenger Bag One Size","","4.7 out of 5 stars","6,380"
"38","Cressi  ","£64.99£64.99","5.0 out of 5 stars","2"
"39","Cressi","£39.99£39.99","4.4 out of 5 stars","3,290"
