"","title","author","subject","abstract","meta"
"1","Rethinking Autoencoders for Medical Anomaly Detection from A Theoretical Perspective","Yu Cai, Hao Chen, Kwang-Ting Cheng","Machine Learning (cs.LG)","Medical anomaly detection aims to identify abnormal findings using only normal training data, playing a crucial role in health screening and recognizing rare diseases. Reconstruction-based methods, particularly those utilizing autoencoders (AEs), are dominant in this field. They work under the assumption that AEs trained on only normal data cannot reconstruct unseen abnormal regions well, thereby enabling the anomaly detection based on reconstruction errors. However, this assumption does not always hold due to the mismatch between the reconstruction training objective and the anomaly detection task objective, rendering these methods theoretically unsound. This study focuses on providing a theoretical foundation for AE-based reconstruction methods in anomaly detection. By leveraging information theory, we elucidate the principles of these methods and reveal that the key to improving AE in anomaly detection lies in minimizing the information entropy of latent vectors. Experiments on four datasets with two image modalities validate the effectiveness of our theory. To the best of our knowledge, this is the first effort to theoretically clarify the principles and design philosophy of AE for anomaly detection. Code will be available upon acceptance.","Thu, 14 Mar 2024 11:51:01 UTC (205 KB)"
"2","Research and teaching in physics at the University of Franche-Comté 1845-1970","John M. Dudley, Jeanne Magnin, Luc Froehly, Jerome Salvi, Pierre Verschueren, Maxime Jacquot","History and Philosophy of Physics (physics.hist-ph)","Recently uncovered archives at the University of Franche-Comté in Besançon (France) reveal a rich history of research and teaching in physics since the Faculty of Science was first established in 1845. Here, we describe a selection of notable activities conducted by the named Chairs of Physics during the period 1845-1970. We uncover a long tradition of major contributions to physics education and research, including the production of highly regarded physics textbooks that were widely used in Europe, as well as pioneering contributions to electron diffraction and microscopy, Fourier optics, and holography. These discoveries yield valuable insights into the historical development of physics research in France, and show how even a small provincial university was able to stay up-to-date with international developments across several areas of physics.","Thu, 14 Mar 2024 10:47:25 UTC (4,636 KB)"
"3","GR as a classical spin-2 theory?","Niels Linnemann, Chris Smeenk, Mark Robert Baker","History and Philosophy of Physics (physics.hist-ph)","The self-interaction spin-2 approach to general relativity (GR) has been extremely influential in the particle physics community. Leaving no doubt regarding its heuristic value, we argue that a view of the metric field of GR as nothing but a stand-in for a self-coupling field in flat spacetime runs into a dilemma: either the view is physically incomplete in so far as it requires recourse to GR after all, or it leads to an absurd multiplication of alternative viewpoints on GR rendering any understanding of the metric field as nothing but a spin-2 field in flat spacetime unjustified.","Wed, 13 Mar 2024 15:50:26 UTC (14 KB)"
"4","What would Plato say? Concepts and notions from Greek philosophy applied to gamification mechanics for a meaningful and ethical gamification","Kostas Karpouzis","Human-Computer Interaction (cs.HC)","Gamification, the integration of game mechanics in non-game settings, has become increasingly prevalent in various digital platforms; however, its ethical and societal impacts are often overlooked. This paper delves into how Platonic and Aristotelian philosophies can provide a critical framework for understanding and evaluating the ethical dimensions of gamification. Plato's allegory of the cave and theory of forms are used to analyse the perception of reality in gamified environments, questioning their authenticity and the value of virtual achievements, while Aristotle's virtue ethics, with its emphasis on moderation, virtue, and eudaimonia (true and full happiness), can help assess how gamification influences user behaviour and ethical decision-making. The paper critically examines various gamification elements, such as the hero's journey, altruistic actions, badge levels, and user autonomy, through these philosophical lenses, and addresses the ethical responsibilities of gamification designers, advocating for a balanced approach that prioritizes user well-being and ethical development over commercial interests. By bridging ancient philosophical insights with modern digital culture, this research contributes to a deeper understanding of the ethical implications of gamification, emphasizing the need for responsible and virtuous design in digital applications.","Tue, 12 Mar 2024 19:25:13 UTC (802 KB)"
"5","Navigating the Quantum Divide(s)","A. Ayda Gercek, Zeki C. Seskir","Physics and Society (physics.soc-ph)","This article explores the possible divides resulting from the introduction of emerging quantum technologies (QT) to society. It provides the multidirectional impacts of QT on science, technology, geopolitics, and societal structures. We aim to challenge the idea of a singular ""quantum divide"" by presenting a more comprehensive perspective. To complement the existing literature on the quantum divide, we propose four distinct divides that could result from the emergence of QT. Firstly, we examine the ""Quantum Divide in Science"", representing the paradigmatic gap among scientists and inequalities in access to knowledge/resources within research communities. We suggest the ""Quantum Divide in Technologies through Path-dependency"" as the second possible divide, examining the adoption processes of certain technologies to be developed by nations, firms, and research communities. The discussion extends internationally, focusing on the ""Quantum Divide between Countries,"" by dealing with the reasons and outcomes of the adoption processes between countries of different development levels (economically, industrially, and technologically). As the final divide, we put forth our perspective on the ""Quantum Divide within Societies"", one of the most explored ones in the literature, addressing societal implications. For each type of the divide, we propose several directions to navigate them, some complementary, some incompatible. Finally, we discuss the interconnectedness and distinctness of different types of divides and how they impact the directions to navigate them. This study serves as a guidance for those interested in a more in-depth investigation of the concept of quantum divide, possible directions of navigating the divides, and how the introduction of QT might affect the innovation ecosystems by impacting the scientific, technological, international, and societal institutions.","Tue, 12 Mar 2024 19:10:02 UTC (487 KB)"
"6","MinkUNeXt: Point Cloud-based Large-scale Place Recognition using 3D Sparse Convolutions","J.J. Cabrera, A. Santo, A. Gil, C. Viegas, L. Payá","Computer Vision and Pattern Recognition (cs.CV)","This paper presents MinkUNeXt, an effective and efficient architecture for place-recognition from point clouds entirely based on the new 3D MinkNeXt Block, a residual block composed of 3D sparse convolutions that follows the philosophy established by recent Transformers but purely using simple 3D convolutions. Feature extraction is performed at different scales by a U-Net encoder-decoder network and the feature aggregation of those features into a single descriptor is carried out by a Generalized Mean Pooling (GeM). The proposed architecture demonstrates that it is possible to surpass the current state-of-the-art by only relying on conventional 3D sparse convolutions without making use of more complex and sophisticated proposals such as Transformers, Attention-Layers or Deformable Convolutions. A thorough assessment of the proposal has been carried out using the Oxford RobotCar and the In-house datasets. As a result, MinkUNeXt proves to outperform other methods in the state-of-the-art.","Tue, 12 Mar 2024 12:25:54 UTC (2,333 KB)[v2] Wed, 13 Mar 2024 09:39:14 UTC (2,333 KB)"
"7","MAMMOTH: Massively Multilingual Modular Open Translation @ Helsinki","Timothee Mickus, Stig-Arne Grönroos, Joseph Attieh, Michele Boggia, Ona De Gibert, Shaoxiong Ji, Niki Andreas Lopi, Alessandro Raganato, Raúl Vázquez, Jörg Tiedemann","Computation and Language (cs.CL)","NLP in the age of monolithic large language models is approaching its limits in terms of size and information that can be handled. The trend goes to modularization, a necessary step into the direction of designing smaller sub-networks and components with specialized functionality. In this paper, we present the MAMMOTH toolkit: a framework designed for training massively multilingual modular machine translation systems at scale, initially derived from OpenNMT-py and then adapted to ensure efficient training across computation clusters. We showcase its efficiency across clusters of A100 and V100 NVIDIA GPUs, and discuss our design philosophy and plans for future information. The toolkit is publicly available online.","Tue, 12 Mar 2024 11:32:30 UTC (9,135 KB)"
"8","The Dawn of AI-Native EDA: Promises and Challenges of Large Circuit Models","Lei Chen (1), Yiqi Chen (2), Zhufei Chu (3), Wenji Fang (4), Tsung-Yi Ho (5), Yu Huang (6), Sadaf Khan (5), Min Li (1), Xingquan Li (7), Yun Liang (2), Yibo Lin (2), Jinwei Liu (5), Yi Liu (5), Guojie Luo (2), Zhengyuan Shi (5), Guangyu Sun (2), Dimitrios Tsaras (1), Runsheng Wang (2), Ziyi Wang (5), Xinming Wei (2), Zhiyao Xie (4), Qiang Xu (5), Chenhao Xue (2), Evangeline F.Y. Young (5), Bei Yu (5), Mingxuan Yuan (1), Haoyi Zhang (2), Zuodong Zhang (2), Yuxiang Zhao (2), Hui-Ling Zhen (1), Ziyang Zheng (5), Binwu Zhu (5), Keren Zhu (5), Sunan Zou (2) ((1) Huawei Noah's Ark Lab, (2) Peking University, (3) Ningbo University, (4) Hong Kong University of Science and Technology, (5) The Chinese University of Hong Kong, (6) Huawei HiSilicon, (7) Peng Cheng Laboratory)","Hardware Architecture (cs.AR)","Within the Electronic Design Automation (EDA) domain, AI-driven solutions have emerged as formidable tools, yet they typically augment rather than redefine existing methodologies. These solutions often repurpose deep learning models from other domains, such as vision, text, and graph analytics, applying them to circuit design without tailoring to the unique complexities of electronic circuits. Such an AI4EDA approach falls short of achieving a holistic design synthesis and understanding, overlooking the intricate interplay of electrical, logical, and physical facets of circuit data. This perspective paper argues for a paradigm shift from AI4EDA towards AI-native EDA, integrating AI at the core of the design process. Pivotal to this vision is the development of a multimodal circuit representation learning technique, poised to provide a comprehensive understanding by harmonizing and extracting insights from varied data sources, such as functional specifications, RTL designs, circuit netlists, and physical layouts. We champion the creation of large circuit models (LCMs) that are inherently multimodal, crafted to decode and express the rich semantics and structures of circuit data, thus fostering more resilient, efficient, and inventive design methodologies. Embracing this AI-native philosophy, we foresee a trajectory that transcends the current innovation plateau in EDA, igniting a profound shift-left in electronic design methodology. The envisioned advancements herald not just an evolution of existing EDA tools but a revolution, giving rise to novel instruments of design-tools that promise to radically enhance design productivity and inaugurate a new epoch where the optimization of circuit performance, power, and area (PPA) is achieved not incrementally, but through leaps that redefine the benchmarks of electronic systems' capabilities.","Tue, 12 Mar 2024 02:26:30 UTC (1,615 KB)"
"9","On the stochastics of human and artificial creativity","Solve Sæbø, Helge Brovold","Artificial Intelligence (cs.AI)","What constitutes human creativity, and is it possible for computers to exhibit genuine creativity? We argue that achieving human-level intelligence in computers, or so-called Artificial General Intelligence, necessitates attaining also human-level creativity. We contribute to this discussion by developing a statistical representation of human creativity, incorporating prior insights from stochastic theory, psychology, philosophy, neuroscience, and chaos theory. This highlights the stochastic nature of the human creative process, which includes both a bias guided, random proposal step, and an evaluation step depending on a flexible or transformable bias structure. The acquired representation of human creativity is subsequently used to assess the creativity levels of various contemporary AI systems. Our analysis includes modern AI algorithms such as reinforcement learning, diffusion models, and large language models, addressing to what extent they measure up to human level creativity. We conclude that these technologies currently lack the capability for autonomous creative action at a human level.","Sun, 3 Mar 2024 10:38:57 UTC (27,634 KB)"
"10","Height Filtrations and Base Loci on Flag Bundles over a Curve","Yangyu Fan, Wenbin Luo, Binggang Qu","Number Theory (math.NT)","Let $k$ be an algebraically closed field of characteristic zero. Let $C/k$ be a projective smooth curve with function field $K=k(C)$ and $G/k$ be a connected reductive group. Let $F$ be a principal $G$-bundle on $C$. Let $P \subseteq G$ be a parabolic subgroup and $\lambda: P \longrightarrow G$ be a strictly anti-dominant character. Then $F/P \longrightarrow C$ is a flag bundle and $\mathcal{L}_\lambda=F \times_P k_\lambda$ on $F/P$ is a relatively ample line bundle. Let $h_{\mathcal{L}_\lambda}$ be the height function on $X=(F/P)_K$ induced by $\mathcal{L}_\lambda$. We compute its height filtration and successive minima: the height filtration is given by a Bruhat decomposition and successive minima are given by slopes. An interesting application is that, in this case, Zhang's inequality on successive minima can be enhanced into an equality. This is proved from the convex geometry point of view. Let $f \in N^1(F/P)$ be the numerical class of a vertical fiber. We also compute the augmented base loci $\mathrm{B}_+(\mathcal{L}_\lambda-tf)$ for any $t \in \mathbb{R}$ and it turns out that they are almost the same as the height filtration, which accords with the philosophy in Arakelov geometry that the positivity of the line bundle $\mathcal{L}_\lambda$ is equivalent to the positivity of its induced height function $h_{\mathcal{L}_\lambda}$. As a corollary, we compute the $k$-th movable cones of flag bundles over curves for all $k$.","Mon, 11 Mar 2024 15:26:54 UTC (30 KB)"
