"title","author","subject","abstract","date"
"rethinking autoencoders for medical anomaly detection from a theoretical perspective","yu cai, hao chen, kwang-ting cheng","machine learning","medical anomaly detection aims to identify abnormal findings using only normal training data, playing a crucial role in health screening and recognizing rare diseases. reconstruction-based methods, particularly those utilizing autoencoders (aes), are dominant in this field. they work under the assumption that aes trained on only normal data cannot reconstruct unseen abnormal regions well, thereby enabling the anomaly detection based on reconstruction errors. however, this assumption does not always hold due to the mismatch between the reconstruction training objective and the anomaly detection task objective, rendering these methods theoretically unsound. this study focuses on providing a theoretical foundation for ae-based reconstruction methods in anomaly detection. by leveraging information theory, we elucidate the principles of these methods and reveal that the key to improving ae in anomaly detection lies in minimizing the information entropy of latent vectors. experiments on four datasets with two image modalities validate the effectiveness of our theory. to the best of our knowledge, this is the first effort to theoretically clarify the principles and design philosophy of ae for anomaly detection. code will be available upon acceptance.",2024-03-14
"research and teaching in physics at the university of franche-comté 1845-1970","john m. dudley, jeanne magnin, luc froehly, jerome salvi, pierre verschueren, maxime jacquot","history and philosophy of physics","recently uncovered archives at the university of franche-comté in besançon (france) reveal a rich history of research and teaching in physics since the faculty of science was first established in 1845. here, we describe a selection of notable activities conducted by the named chairs of physics during the period 1845-1970. we uncover a long tradition of major contributions to physics education and research, including the production of highly regarded physics textbooks that were widely used in europe, as well as pioneering contributions to electron diffraction and microscopy, fourier optics, and holography. these discoveries yield valuable insights into the historical development of physics research in france, and show how even a small provincial university was able to stay up-to-date with international developments across several areas of physics.",2024-03-14
"gr as a classical spin-2 theory?","niels linnemann, chris smeenk, mark robert baker","history and philosophy of physics","the self-interaction spin-2 approach to general relativity (gr) has been extremely influential in the particle physics community. leaving no doubt regarding its heuristic value, we argue that a view of the metric field of gr as nothing but a stand-in for a self-coupling field in flat spacetime runs into a dilemma: either the view is physically incomplete in so far as it requires recourse to gr after all, or it leads to an absurd multiplication of alternative viewpoints on gr rendering any understanding of the metric field as nothing but a spin-2 field in flat spacetime unjustified.",2024-03-13
"what would plato say? concepts and notions from greek philosophy applied to gamification mechanics for a meaningful and ethical gamification","kostas karpouzis","human-computer interaction","gamification, the integration of game mechanics in non-game settings, has become increasingly prevalent in various digital platforms; however, its ethical and societal impacts are often overlooked. this paper delves into how platonic and aristotelian philosophies can provide a critical framework for understanding and evaluating the ethical dimensions of gamification. plato's allegory of the cave and theory of forms are used to analyse the perception of reality in gamified environments, questioning their authenticity and the value of virtual achievements, while aristotle's virtue ethics, with its emphasis on moderation, virtue, and eudaimonia (true and full happiness), can help assess how gamification influences user behaviour and ethical decision-making. the paper critically examines various gamification elements, such as the hero's journey, altruistic actions, badge levels, and user autonomy, through these philosophical lenses, and addresses the ethical responsibilities of gamification designers, advocating for a balanced approach that prioritizes user well-being and ethical development over commercial interests. by bridging ancient philosophical insights with modern digital culture, this research contributes to a deeper understanding of the ethical implications of gamification, emphasizing the need for responsible and virtuous design in digital applications.",2024-03-12
"navigating the quantum divide(s)","a. ayda gercek, zeki c. seskir","physics and society","this article explores the possible divides resulting from the introduction of emerging quantum technologies (qt) to society. it provides the multidirectional impacts of qt on science, technology, geopolitics, and societal structures. we aim to challenge the idea of a singular ""quantum divide"" by presenting a more comprehensive perspective. to complement the existing literature on the quantum divide, we propose four distinct divides that could result from the emergence of qt. firstly, we examine the ""quantum divide in science"", representing the paradigmatic gap among scientists and inequalities in access to knowledge/resources within research communities. we suggest the ""quantum divide in technologies through path-dependency"" as the second possible divide, examining the adoption processes of certain technologies to be developed by nations, firms, and research communities. the discussion extends internationally, focusing on the ""quantum divide between countries,"" by dealing with the reasons and outcomes of the adoption processes between countries of different development levels (economically, industrially, and technologically). as the final divide, we put forth our perspective on the ""quantum divide within societies"", one of the most explored ones in the literature, addressing societal implications. for each type of the divide, we propose several directions to navigate them, some complementary, some incompatible. finally, we discuss the interconnectedness and distinctness of different types of divides and how they impact the directions to navigate them. this study serves as a guidance for those interested in a more in-depth investigation of the concept of quantum divide, possible directions of navigating the divides, and how the introduction of qt might affect the innovation ecosystems by impacting the scientific, technological, international, and societal institutions.",2024-03-12
"minkunext: point cloud-based large-scale place recognition using 3d sparse convolutions","j.j. cabrera, a. santo, a. gil, c. viegas, l. payá","computer vision and pattern recognition","this paper presents minkunext, an effective and efficient architecture for place-recognition from point clouds entirely based on the new 3d minknext block, a residual block composed of 3d sparse convolutions that follows the philosophy established by recent transformers but purely using simple 3d convolutions. feature extraction is performed at different scales by a u-net encoder-decoder network and the feature aggregation of those features into a single descriptor is carried out by a generalized mean pooling (gem). the proposed architecture demonstrates that it is possible to surpass the current state-of-the-art by only relying on conventional 3d sparse convolutions without making use of more complex and sophisticated proposals such as transformers, attention-layers or deformable convolutions. a thorough assessment of the proposal has been carried out using the oxford robotcar and the in-house datasets. as a result, minkunext proves to outperform other methods in the state-of-the-art.",2024-03-12
"mammoth: massively multilingual modular open translation @ helsinki","timothee mickus, stig-arne grönroos, joseph attieh, michele boggia, ona de gibert, shaoxiong ji, niki andreas lopi, alessandro raganato, raúl vázquez, jörg tiedemann","computation and language","nlp in the age of monolithic large language models is approaching its limits in terms of size and information that can be handled. the trend goes to modularization, a necessary step into the direction of designing smaller sub-networks and components with specialized functionality. in this paper, we present the mammoth toolkit: a framework designed for training massively multilingual modular machine translation systems at scale, initially derived from opennmt-py and then adapted to ensure efficient training across computation clusters. we showcase its efficiency across clusters of a100 and v100 nvidia gpus, and discuss our design philosophy and plans for future information. the toolkit is publicly available online.",2024-03-12
"the dawn of ai-native eda: promises and challenges of large circuit models","lei chen (1), yiqi chen (2), zhufei chu (3), wenji fang (4), tsung-yi ho (5), yu huang (6), sadaf khan (5), min li (1), xingquan li (7), yun liang (2), yibo lin (2), jinwei liu (5), yi liu (5), guojie luo (2), zhengyuan shi (5), guangyu sun (2), dimitrios tsaras (1), runsheng wang (2), ziyi wang (5), xinming wei (2), zhiyao xie (4), qiang xu (5), chenhao xue (2), evangeline f.y. young (5), bei yu (5), mingxuan yuan (1), haoyi zhang (2), zuodong zhang (2), yuxiang zhao (2), hui-ling zhen (1), ziyang zheng (5), binwu zhu (5), keren zhu (5), sunan zou (2) ((1) huawei noah's ark lab, (2) peking university, (3) ningbo university, (4) hong kong university of science and technology, (5) the chinese university of hong kong, (6) huawei hisilicon, (7) peng cheng laboratory)","hardware architecture","within the electronic design automation (eda) domain, ai-driven solutions have emerged as formidable tools, yet they typically augment rather than redefine existing methodologies. these solutions often repurpose deep learning models from other domains, such as vision, text, and graph analytics, applying them to circuit design without tailoring to the unique complexities of electronic circuits. such an ai4eda approach falls short of achieving a holistic design synthesis and understanding, overlooking the intricate interplay of electrical, logical, and physical facets of circuit data. this perspective paper argues for a paradigm shift from ai4eda towards ai-native eda, integrating ai at the core of the design process. pivotal to this vision is the development of a multimodal circuit representation learning technique, poised to provide a comprehensive understanding by harmonizing and extracting insights from varied data sources, such as functional specifications, rtl designs, circuit netlists, and physical layouts. we champion the creation of large circuit models (lcms) that are inherently multimodal, crafted to decode and express the rich semantics and structures of circuit data, thus fostering more resilient, efficient, and inventive design methodologies. embracing this ai-native philosophy, we foresee a trajectory that transcends the current innovation plateau in eda, igniting a profound shift-left in electronic design methodology. the envisioned advancements herald not just an evolution of existing eda tools but a revolution, giving rise to novel instruments of design-tools that promise to radically enhance design productivity and inaugurate a new epoch where the optimization of circuit performance, power, and area (ppa) is achieved not incrementally, but through leaps that redefine the benchmarks of electronic systems' capabilities.",2024-03-12
"on the stochastics of human and artificial creativity","solve sæbø, helge brovold","artificial intelligence","what constitutes human creativity, and is it possible for computers to exhibit genuine creativity? we argue that achieving human-level intelligence in computers, or so-called artificial general intelligence, necessitates attaining also human-level creativity. we contribute to this discussion by developing a statistical representation of human creativity, incorporating prior insights from stochastic theory, psychology, philosophy, neuroscience, and chaos theory. this highlights the stochastic nature of the human creative process, which includes both a bias guided, random proposal step, and an evaluation step depending on a flexible or transformable bias structure. the acquired representation of human creativity is subsequently used to assess the creativity levels of various contemporary ai systems. our analysis includes modern ai algorithms such as reinforcement learning, diffusion models, and large language models, addressing to what extent they measure up to human level creativity. we conclude that these technologies currently lack the capability for autonomous creative action at a human level.",2024-03-03
"height filtrations and base loci on flag bundles over a curve","yangyu fan, wenbin luo, binggang qu","number theory","let $k$ be an algebraically closed field of characteristic zero. let $c/k$ be a projective smooth curve with function field $k=k(c)$ and $g/k$ be a connected reductive group. let $f$ be a principal $g$-bundle on $c$. let $p \subseteq g$ be a parabolic subgroup and $\lambda: p \longrightarrow g$ be a strictly anti-dominant character. then $f/p \longrightarrow c$ is a flag bundle and $\mathcal{l}_\lambda=f \times_p k_\lambda$ on $f/p$ is a relatively ample line bundle. let $h_{\mathcal{l}_\lambda}$ be the height function on $x=(f/p)_k$ induced by $\mathcal{l}_\lambda$. we compute its height filtration and successive minima: the height filtration is given by a bruhat decomposition and successive minima are given by slopes. an interesting application is that, in this case, zhang's inequality on successive minima can be enhanced into an equality. this is proved from the convex geometry point of view. let $f \in n^1(f/p)$ be the numerical class of a vertical fiber. we also compute the augmented base loci $\mathrm{b}_+(\mathcal{l}_\lambda-tf)$ for any $t \in \mathbb{r}$ and it turns out that they are almost the same as the height filtration, which accords with the philosophy in arakelov geometry that the positivity of the line bundle $\mathcal{l}_\lambda$ is equivalent to the positivity of its induced height function $h_{\mathcal{l}_\lambda}$. as a corollary, we compute the $k$-th movable cones of flag bundles over curves for all $k$.",2024-03-11
