"...1","Movie Title","Review Title","Reviewer","Review","Date","Ratings","date","ratings"
1,"breaking bad (2008–2013)","really great","fire","i have never watched a show that is as consistently genuine and engaging as breaking bad this is undoubtedly one of the greatest shows ever and it consistently improves as it progressesthe journeys of walter white and jesse pinkman are unforgettable these are some of the bestwritten characters to ever come from a penhitting papermy praises for the acting and cinematography are unending some of the shots are intricate works of art and i was rarely distracted by the acting the performances are excellent to the extent that it feels improper to refer to them as performancesoverall breaking bad consistently maintains a level of engagement and technical quality seen in only the best of movies and in terms of tone every intense moment is executed with excellence and always achieves the impact it reaches fori feel like the shows plot in the early seasons lacks a certain level of complexity due to it not having a vast amount of plot threads and the start is a bit slowpaced but breaking bad is an absolute mustwatch if you have mixed feelings towards season  trust me it is only uphill from thereif there was ever a series you could call perfect i think this might be it","9 november 2021","10/10",2021-11-09,NA
2,"breaking bad (2008–2013)","damn near perfect!","supermanfan","breaking bad is absolutely without a doubt one of the greatest tv shows ever createdits damn near perfect i know that people say that about a ton of different shows but breaking bad really is universally thought of as one of the greatest shows of alltime all you have to do is go google greatest tv shows of alltime and i guarantee you that its at or near the top of every list youll find and theres a reason for thatbecause it is every season is just as brilliant as the others which everyone knows is almost impossible for a show to do but one which breaking bad absolutely pulls off if youre one of the few people who still havent seen this amazing show then do yourself a favor and go watch this immediatelyyou will not be disappointed","9 december 2022","10/10",2022-12-09,NA
3,"breaking bad (2008–2013)","absolutely brilliant!!","dicapriofan","breaking bad is every bit as good as everyone says it is its easily one of my favorites shows of alltime and one of the best shows in the history of television just read through the reviews and look at the  rating to see how loved this show really is the writing and acting is what makes this show so special i love this show so much that ive already watched it all the way through twice already and plan on doing so again sometime in the near future theres nothing more i can say about this incredible show that hasnt already been said so just go watch it but plan ahead to give yourself enough time because youre going to want to binge this as quickly as you can its addicting once you start","13 november 2017","10/10",2017-11-13,NA
4,"breaking bad (2008–2013)","among the best and most addictive shows there is","thelittlesongbird","breaking bad is one of the most popular rated shows on imdb is one of those rarities where every season has either been very positively received or nearuniversally acclaimed critically and where all of my friends have said nothing but great things aboutvery few shows in recent memory had me so hooked from the very start that before the week was over the whole show had been watched especially when for a lot of shows now airing watching one episode all the way through can be an endeavour breaking bad had that effect on me and its reputation as one of the best consistently brilliant and most addictive shows in many years maybe even ever is more than deserved in my eyes its weakest season is perhaps the first season understandable as any shows first season is the one where things are still settlingactually everything is established remarkably from the very start but once the writing and characterisation becomes even meatier the show reaches even higher levelsvisually breaking bad is one of those shows that is both stylish and beautiful with photography and editing that are cinematic quality and put a lot of films today to shame where there are a lot of visually beautiful ones but also some painfully amateurish looking ones the music always has the appropriate mood never too intrusive never too mutedthe writing for breaking bad is a fine example to all shows of how to have a lot of style but also to have a lot of substance the dialogue throughout is thoughtprovoking and tense while also have a darkly wicked sense of humour and hearttugging pathos the stories are texturally rich intimate tense and layered with the pace of them consistently deliberate but taut the direction couldnt be bettercant say anything bad about the acting bryan cranston is phenomenal as one of the most fascinating antiheroes or even of any kind of character in either film or television aaron paul has never been better and anna gunn is affecting the characters are compelling in their realismoverall describing it as brilliant doesnt do breaking bad justice  bethany cox","30 july 2021","10/10",2021-07-30,NA
5,"breaking bad (2008–2013)","99.1% pure","kinokoopakid","one of the greatest shows ever the pacing is excellent the characters are well developed and entertaining the show ties everything together very neatly its honestly a show that gets better each time you view it its cathartic to see walter break bad and how the story unravels is the best way it could have very good storytelling well done to vince gilligan","12 january 2014","10/10",2014-01-12,NA
6,"breaking bad (2008–2013)","if you mix scarface, robin hood and maybe tyler durden with enough meth - you'll get a mean cocktail called 'heisenberg'","gogoschka","if you are among the few who havent seen it yet believe the hype it really is that good breaking bad may not depict reality the way generation kill or the wire did  but then its not about that either from an artistic point of view  performances writing direction camera music  this show is every bit as good as the other two mentioned above but unlike those breaking bad just wants to entertain and therefore enjoys a lot more creative freedomthe show plays like the daydream fantasy of any underachieving struggling middle class family man whos had to bury all his dreams i mean who wouldnt want to be a methkingpin for a little while before it turns into a nightmare one could almost say that heisenberg is walter whites tyler durdenfor those who dont get the reference watch fight club  you wont regret itfor pure entertainment value this is simply the best show ive ever seen every single one of the main characters has already reached the status of a screen icon  when does that ever happen most fun ive ever had watching a tvshow and an instant classic","19 february 2020","10/10",2020-02-19,NA
7,"breaking bad (2008–2013)","the best","jehuschultz","i cannot stress enough how good this show is ive watched a lot of tv in my life and this show still remains the best show ive ever seen","7 march 2019","10/10",2019-03-07,NA
8,"breaking bad (2008–2013)","it's ok i guess","bruhperson","rewatched it  times and counting i guess i liked it","5 may 2021","10/10",2021-05-05,NA
9,"breaking bad (2008–2013)","every bit as good as you've heard","leofwinedraca","direction perfectscreenplayperfectwritingperfectscoreperfectcinematographyperfectcastingperfectbeginningperfectclimaxperfectactingbeyond perfectoverallas i said absolute perfection","18 july 2021","10/10",2021-07-18,NA
10,"breaking bad (2008–2013)","absolute perfection!!!!","dhanushreddy","breaking bad feels like fever dream a really really good fever dream the directing is absolutely perfect the characters bounce off each other in this really well done way i can really feel the true emotion and pure character coming from each one i can feel the greed lust money hunger animals each of these characters are there are no true heroes in this story except hank i love u","9 november 2021","10/10",2021-11-09,NA
